Year,Country,Description,Deaths,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,0,0,1,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,1,0,0,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,0,0,1,0,0,0,0
2021,Belgium,"Driver runs over curb, loses control and hit pole",1,0,1,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,0,1,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,0,0,1,0,1,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,0,0,1,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,1,0,0,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,0,0,1,0,0,0,0
2021,UK,Tesla crashes into stationary van,1,0,1,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,1,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,0,1,0,1,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,0,1,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,0,1,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,1,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,0,1,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,0,0,1,0,1,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,0,0,1,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,1,0,0,0,0,0,0
2021,USA,3 car collision near intersection,1,0,0,1,0,0,0,0
2021,USA,3 car collision near intersection,1,0,1,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,0,1,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,0,0,1,0,1,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,0,0,1,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,1,0,0,0,0,0,0
2021,USA,High speed crash into telephone pole,1,0,0,1,0,0,0,0
2021,USA,High speed crash into telephone pole,1,0,1,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,1,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,0,1,0,1,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,0,0,1,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree, occupants killed",2,1,0,0,0,0,0,0
